time,open_,high,low,close,volume,unknown
2023-03-01T15:00:00+0530,88.65,88.65,88.65,88.65,11,4339
2023-03-01T15:05:00+0530,88.65,88.65,88.65,88.65,0,4339
2023-03-01T15:10:00+0530,88.65,88.65,88.65,88.65,1,4340
2023-03-01T15:15:00+0530,88.65,88.65,88.65,88.65,0,4340
2023-03-01T15:20:00+0530,88.65,88.6525,88.6375,88.6525,32,4341
2023-03-01T15:25:00+0530,88.6525,88.6525,88.6525,88.6525,0,4341
2023-03-01T15:30:00+0530,88.6525,88.6525,88.65,88.6525,26,4335
2023-03-01T15:35:00+0530,88.6525,88.6525,88.6525,88.6525,0,4335
2023-03-01T15:40:00+0530,88.6525,88.68,88.65,88.68,50,4360
2023-03-01T15:45:00+0530,88.68,88.7275,88.68,88.7275,16,4386
2023-03-01T15:50:00+0530,88.7275,88.77,88.7275,88.7475,62,4437
2023-03-01T15:55:00+0530,88.7475,88.76,88.7475,88.76,10,4437
2023-03-01T16:00:00+0530,88.76,88.76,88.74,88.74,12,4445
2023-03-01T16:05:00+0530,88.74,88.7575,88.74,88.7575,10,4445
2023-03-01T16:10:00+0530,88.7575,88.7575,88.7575,88.7575,0,4445
2023-03-01T16:15:00+0530,88.7575,88.7575,88.7575,88.7575,0,4445
2023-03-01T16:20:00+0530,88.7575,88.7575,88.73,88.7575,41,4475
2023-03-01T16:25:00+0530,88.7575,88.82,88.7575,88.82,32,4501
2023-03-01T16:30:00+0530,88.82,88.82,88.82,88.82,3,4502
2023-03-01T16:35:00+0530,88.82,88.82,88.79,88.8,59,4539
2023-03-01T16:40:00+0530,88.8,88.8,88.8,88.8,0,4539
2023-03-01T16:45:00+0530,88.8,88.8,88.7325,88.7325,6,4543
2023-03-01T16:50:00+0530,88.7325,88.7325,88.7325,88.7325,5,4543
2023-03-01T16:55:00+0530,88.7325,88.79,88.7325,88.76,29,4560
2023-03-02T09:00:00+0530,88.835,88.835,88.7,88.7,2,4556
2023-03-02T09:05:00+0530,88.7,88.72,88.7,88.72,2,4556
2023-03-02T09:10:00+0530,88.72,88.735,88.715,88.715,27,4558
2023-03-02T09:15:00+0530,88.715,88.7175,88.715,88.7175,23,4569
2023-03-02T09:20:00+0530,88.7175,88.72,88.7025,88.72,35,4567
2023-03-02T09:25:00+0530,88.72,88.72,88.7175,88.72,35,4567
2023-03-02T09:30:00+0530,88.72,88.74,88.72,88.74,21,4594
2023-03-02T09:35:00+0530,88.74,88.74,88.74,88.74,0,4594
2023-03-02T09:40:00+0530,88.74,88.74,88.74,88.74,0,4594
2023-03-02T09:45:00+0530,88.74,88.74,88.74,88.74,0,4594
2023-03-02T09:50:00+0530,88.74,88.745,88.74,88.745,2,4601
2023-03-02T09:55:00+0530,88.745,88.745,88.745,88.745,0,4601
2023-03-02T10:00:00+0530,88.745,88.745,88.745,88.745,0,4601
2023-03-02T10:05:00+0530,88.745,88.745,88.72,88.72,118,4603
2023-03-02T10:10:00+0530,88.72,88.72,88.72,88.72,0,4603
2023-03-02T10:15:00+0530,88.72,88.73,88.72,88.73,11,4686
2023-03-02T10:20:00+0530,88.73,88.73,88.73,88.73,0,4686
2023-03-02T10:25:00+0530,88.73,88.73,88.73,88.73,0,4686
2023-03-02T10:30:00+0530,88.73,88.73,88.7025,88.7025,25,4687
2023-03-02T10:35:00+0530,88.7025,88.7025,88.7,88.7,4,4707
2023-03-02T10:40:00+0530,88.7,88.7,88.69,88.69,10,4703
2023-03-02T10:45:00+0530,88.69,88.7075,88.69,88.7075,8,4705
2023-03-02T10:50:00+0530,88.7075,88.72,88.7075,88.72,1,4709
2023-03-02T10:55:00+0530,88.72,88.72,88.72,88.72,12,4709
2023-03-02T11:00:00+0530,88.72,88.72,88.6975,88.7125,83,4644
2023-03-02T11:05:00+0530,88.7125,88.7125,88.66,88.6875,28,4653
2023-03-02T11:10:00+0530,88.6875,88.6875,88.6875,88.6875,0,4653
2023-03-02T11:15:00+0530,88.6875,88.6875,88.65,88.65,12,4651
2023-03-02T11:20:00+0530,88.65,88.65,88.65,88.65,4,4651
2023-03-02T11:25:00+0530,88.65,88.65,88.63,88.64,25,4665
2023-03-02T11:30:00+0530,88.64,88.64,88.64,88.64,20,4674
2023-03-02T11:35:00+0530,88.64,88.64,88.615,88.63,135,4690
2023-03-02T11:40:00+0530,88.63,88.63,88.63,88.63,0,4690
2023-03-02T11:45:00+0530,88.63,88.6325,88.63,88.6325,3,4813
2023-03-02T11:50:00+0530,88.6325,88.6325,88.625,88.625,22,4816
2023-03-02T11:55:00+0530,88.625,88.6525,88.625,88.6525,4,4808
2023-03-02T12:00:00+0530,88.6525,88.6575,88.6525,88.6575,10,4807
2023-03-02T12:05:00+0530,88.6575,88.66,88.6575,88.6575,9,4807
2023-03-02T12:10:00+0530,88.6575,88.69,88.6575,88.69,2,4807
2023-03-02T12:15:00+0530,88.69,88.69,88.675,88.675,21,4807
2023-03-02T12:20:00+0530,88.675,88.675,88.6575,88.6575,7,4805
2023-03-02T12:25:00+0530,88.6575,88.675,88.6575,88.675,21,4805
2023-03-02T12:30:00+0530,88.675,88.675,88.675,88.675,0,4805
2023-03-02T12:35:00+0530,88.675,88.675,88.675,88.675,0,4805
2023-03-02T12:40:00+0530,88.675,88.68,88.675,88.6775,11,4805
2023-03-02T12:45:00+0530,88.6775,88.6775,88.6775,88.6775,8,4800
2023-03-02T12:50:00+0530,88.6775,88.6775,88.6775,88.6775,0,4800
2023-03-02T12:55:00+0530,88.6775,88.6775,88.655,88.655,6,4806
2023-03-02T13:00:00+0530,88.655,88.655,88.655,88.655,0,4806
2023-03-02T13:05:00+0530,88.655,88.655,88.655,88.655,0,4806
2023-03-02T13:10:00+0530,88.655,88.6625,88.6475,88.6625,10,4808
2023-03-02T13:15:00+0530,88.6625,88.6625,88.6625,88.6625,0,4808
2023-03-02T13:20:00+0530,88.6625,88.6625,88.6625,88.6625,0,4808
2023-03-02T13:25:00+0530,88.6625,88.6625,88.6625,88.6625,0,4808
